Product ID,Product Name,Category,Description,Price
0,DreamWeave Silk Pillowcase ,Bedding & Linens ,"Wake up refreshed with this luxurious silk pillowcase. Gentle on skin and hair, promotes better sleep. ",26.17
1,SafariVista Binoculars ,Outdoor Gear ,Observe wildlife and nature with these high-quality binoculars. Compact and durable for outdoor adventures. ,41.32
2,FitFlex Yoga Blocks ,Fitness & Sports ,Support yoga poses and stretches with these sturdy yoga blocks. Lightweight and easy to grip. ,35.87
3,CosmoGlow Highlighter Palette ,Beauty & Makeup ,Add a touch of shimmer with this versatile highlighter palette. Features flattering shades for every skin tone. ,28.6
4,LuxuryLush Silk Pillowcase ,Bedding & Linens ,Enhance your beauty sleep with this luxurious silk pillowcase. Smooths hair and skin for a refreshed morning look. ,15.57
5,FitPro Resistance Bands ,Fitness & Sports ,Strengthen and tone muscles with these durable resistance bands. Perfect for at-home workouts or gym sessions. ,26.58
6,PristinePure Water Filter ,Home Essentials , Enjoy clean and fresh drinking water with this advanced water filtration system. Removes impurities and enhances taste. ,44.18
7,FitForm Yoga Mat ,Fitness & Wellness ,"Enhance your yoga practice with this non-slip yoga mat. Lightweight and durable, perfect for beginners and pros alike ",22.84
8,SafariTrek Binoculars ,Outdoor Gear ,"Explore the great outdoors with these high-quality binoculars. Ideal for birdwatching, hiking, or sporting events ",37.94
9,BrewMist Cold Brew Maker ,Kitchen Appliances ,Brew smooth and refreshing cold brew coffee at home with this easy-to-use cold brew maker ,9.29
10,UrbanEase Backpack ,Fashion & Accessories ,"Carry your essentials in style with this sleek backpack. Perfect for work, school, or travel. ",20.92
11,AdventureZone Camping Hammock ,Outdoor Gear,Relax outdoors with this durable camping hammock. Lightweight and easy to set up for camping or backyard lounging. ,20.93
12,TechGrip Wireless Mouse ,Electronics ,mprove productivity with this ergonomic wireless mouse. Smooth tracking and comfortable grip for long hours of use ,17.03
13,ClearVision Blue Light Glasses ,Eyewear ,Protect your eyes from digital strain with these blue light blocking glasses. Ideal for long hours in front of screens. ,10.3
14,PurrfectHaven Cat Bed ,Pets & Animals ,Spoil your cat with this plush cat bed. Provides warmth and comfort for napping and lounging. ,83.1
15,TerraTrek Hiking Boots ,Outdoor Gear ,Conquer the trails with these sturdy hiking boots. Waterproof and supportive for rugged terrain. ,26.62
16,CozyNest Weighted Blanket ,Home & Living ,Experience deeper sleep and relaxation with this therapeutic weighted blanket. Perfect for reducing stress and anxiety,9.25
17,CosmoCharm Jewelry Box ,Fashion Accessories ,Store your jewelry in style with this elegant jewelry box. Features compartments for organizing accessories. ,5.3
18,FitForm Yoga Mat ,Fitness & Wellness ,"Enhance your yoga practice with this non-slip yoga mat. Lightweight and durable, perfect for beginners and pros alike ",22.84
19,AdventureTech Action Camera ,Electronics ,Capture life's adventures with this rugged action camera.,25.04
20,LuxuryLush Silk Robe ,Home & Living ,Lounge in luxury with this silky-smooth robe. Perfect for relaxing evenings at home. ,43.71
21,VitaPure Water Filter ,Home Essentials ,Ensure clean and fresh drinking water with this advanced water filter system. Removes impurities and enhances taste. ,51.49
22,SafariVenture Binoculars ,Outdoor Gear ,Observe wildlife and nature up close with these high-performance binoculars. Lightweight and compact for easy portability. ,96.61
23,UrbanChic Sunglasses ,Fashion Accessories ,Shield your eyes in style with these chic sunglasses. UV protection lenses for sunny days ,24.74
24,FitPro Activity Tracker ,Fitness & Sports ,"Monitor your daily activities with this sleek activity tracker. Tracks steps, calories burned, and heart rate. ",65.5
25,AdventureBound Sleeping Bag ,Outdoor Gear ,Stay warm and cozy on camping trips with this insulated sleeping bag. Lightweight and easy to pack. ,81.88
26,LuxuryLush Silk Pillowcase ,Bedding & Linens ,Enhance your beauty sleep with this luxurious silk pillowcase. Smooths hair and skin for a refreshed morning look. ,15.57
27,AdventureTech Trekking Poles ,Outdoor Gear ,Maintain stability on hiking trails with these lightweight trekking poles. Adjustable height for comfort and convenience.,44.03
28,BrewMist Cold Brew Maker ,Kitchen Appliances ,Brew smooth and refreshing cold brew coffee at home with this easy-to-use cold brew maker ,9.29
29,ClearVision Blue Light Glasses ,Eyewear ,Protect your eyes from digital strain with these blue light blocking glasses. Ideal for long hours in front of screens. ,10.3
30,TechPulse Fitness Tracke ,Fitness & Sports ,"Track your fitness goals with this advanced fitness tracker. Monitors heart rate, steps, and calories burned. ",77.75
31,EcoClean Laundry Detergent ,Home Essentials ,"Keep your clothes fresh and clean with this eco-friendly laundry detergent. Gentle on fabrics, tough on stains. ",94.31
32,TechTrek Wireless Charger ,Electronics ,Charge your devices wirelessly with this sleek charger. Compatible with Qi-enabled smartphones and devices ,26.23
